Name,URL,Description,Logo,Users,Active Users
mastodon.gamedev.place,https://mastodon.gamedev.place,Mastodon server focused on game development and related topics.,https://cdn.masto.host/mastodongamedevplace/site_uploads/files/000/000/001/@1x/fca903dbad52998f.png,25119,5381.0
nerdculture.de,https://nerdculture.de,"Be excellent to each other, live humanism, no nazis, no hate speech. Not only for nerds, but the domain is somewhat cool. ;)
No bots in general. Languages: DE, EN, FR, NL, ES, IT",https://nerdculture.de/system/site_uploads/files/000/000/003/@1x/e9a85daafde97d82.png,24686,1800.0
tkz.one,https://tkz.one,"Servidor en Español para gamers, otakus y geeks. Comunidad libre de toxicidad. Contenido de anime, manga, videojuegos, tecnología, literatura, cine... Ven a descubrir Mastodon con nosotros.",https://media.tkz.one/tkz/site_uploads/files/000/000/003/@1x/ef2cc17c83c958f3.png,24288,1211.0
aus.social,https://aus.social,Welcome to thundertoot! A Mastodon Instance for the People.,https://mediacdn.aus.social/site_uploads/files/000/000/001/@1x/860cb0e7a7201081.png,24228,3519.0
pixelfed.de,https://pixelfed.de,A welcoming instance for all,https://pixelfed.de/storage/headers/default.jpg,23550,
piaille.fr,https://piaille.fr,"Piaille.fr est un serveur mastodon public francophone accessible à toutes et à tous.
",https://piaille.fr/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,23368,5374.0
ravenation.club,https://ravenation.club,ravenation.club is an instance for all the ravers in the universe. Anyone who listens to electronic music (or not) is welcome. Operated by https://cgnfs.de,https://media.ravenation.club/site_uploads/files/000/000/001/@1x/0dd03fec09bfe2cd.png,23105,1120.0
wxw.moe,https://wxw.moe,一个 泛ACGN 实例，讨论主题不限 ~,https://ovo.wxw.moe/site_uploads/files/000/000/001/original/20201108_opengraph.jpg,21359,3103.0
spinster.xyz,https://spinster.xyz,,https://spinster.xyz/instance/thumbnail.png,20988,
newsie.social,https://newsie.social,"The premier Mastodon social media server for news and current events. Discover & engage on a large, well moderated & ad-free environment. Newsie is fast, secure and up-to-date. All are welcome!",https://assets.newsie.social/site_uploads/files/000/000/005/@1x/8b9c8cd45056cd7f.png,20773,2635.0
social.tchncs.de,https://social.tchncs.de,,https://social.tchncs.de/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,20565,3533.0
